the	这个、这些
invent	发明
maybe	可能、大概
volume	容积、音量（一）卷
bar	条、酒吧
east	东、东方的
resume	重新开始、恢复、简历
adolescent	青少年
dance	跳舞
hill	小山
season	季节
nevertheless	然而
congress	代表大会
fifty	五十
urgent	紧迫的
category	类别
infant	婴幼儿
convenient	方便的
battle	战斗
vulnerable	易受攻击的、脆弱的
committee	委员会
band	乐队、带子
football	足球
dress	穿
vacation	假期
reasonable	合理的
odd	奇数的、奇怪的
significance	重要性
examination	考试
detect	查明、发现
host	主持人
estate	地产、遗产
initiative	主动性、进取心
divorce	离婚、断绝关系
dispute	争论
accurate	精确的
brown	褐色的
snow	雪
confirm	证实、确认
raw	生的、未经训练的
unit	单元、单位
hang	挂
weigh	称重量、有影响
elite	精英
trial	审判、试用
evolve	使发展
mislead	误导
distinction	区分、卓越
automation	自动
craft	工艺
plenty	丰富、大量
vegetable	蔬菜
curriculum	课程
flexible	灵活的
cat	猫
royal	皇家的
highlight	使显著、强调
remark	评价、评论
comparison	比较
regulate	管理、调节
contrary	相反的、对方的
rush	冲
interact	互动
nervous	紧张的
bag	包、袋
scheme	计划、密谋
alarm	警报
desert	遗弃、沙漠
beach	海滩
usage	使用、用法
exceptional	例外的
internal	内部的
evil	邪恶的、坏的
surround	周围
bottom	底下
expansion	扩张
whereas	然而
license	执照、许可
journey	旅行
anticipate	预期、先发制人
deprive	剥夺
finance	财政
absence	缺席
guideline	指导方针、指导原则
route	路线
whenever	无论何时
solid	固体的
tap	提取、利用
myself	我自己、我亲自
seed	种子、播种
protest	抗议
submit	顺从、递交
musical	音乐的、音调优美的
journalist	记者
judgment	裁判
boom	繁荣
fairly	公正地、相当地
stable	稳定的
contest	比赛
illegal	不合法的
zone	区域
besides	除了之外、而且
philosophy	哲学
modify	修改、缓和
rural	乡村的
god	神、上帝
reluctant	不情愿的、勉强的
sharp	尖的、清晰的
adequate	充足的
milk	牛奶
mystery	神秘
literacy	读写能力
emergency	紧急情况
bridge	桥
grass	草
slave	奴隶
privilege	特权、优先权
restore	恢复、归还
upset	沮丧、难过
counterpart	同行
accelerate	加速
era	时代
false	错误的
uniform	统一的、制服
pair	一对
profitable	有利可图的
prison	监狱
breath	呼吸
barrier	障碍
breed	养育、繁殖
painting	绘画
segment	段
dam	水坝
infrastructure	基础设施
landscape	风景
assist	援助
crucial	决定性的
fan	粉丝、扇子
rock	岩石、震动
devote	奉献
permanent	永恒的
broadcast	广播
desk	桌子
greenhouse	温室
visual	看的
electric	电的
luxury	奢侈、奢侈品
tall	高
entrance	入口
snack	点心、易办到的事
rat	老鼠、卑鄙的人
channel	频道、隧道
reply	回复
virtue	美德、优点
injury	损伤
remind	提醒
trait	特征
counter	柜台
evaluate	评估
sacrifice	牺牲
tone	音调、腔调
minor	较小的、较少的
stuff	东西、材料、填满
sum	总和
cheat	作弊、欺骗
injure	使受伤、损害
superior	优良的、较……多的
tackle	处理、应付
maximum	最大的
tuition	学费、教学
appointment	预约、任命、职位
ingredient	成分
spare	空闲的
tour	旅行
steel	钢
beneath	在…之下
discount	折扣
trace	痕迹、微量
unfortunately	不幸地
laboratory	实验室
belt	皮带、地带
march	行进
tendency	趋势
accomplish	完成
ruin	毁灭
entertain	娱乐
hall	大厅
regret	遗憾、后悔
furniture	家具
ride	骑
terrible	很糟的、可怕的
coast	海岸、沿岸航行
camera	照相机
obstacle	障碍
finger	手指
interval	间隔、休息
constitute	组成、建立
northern	北方的
aggressive	好斗的、有侵略性的
influential	有影响的、权势的
radical	根本的、彻底的
abuse	滥用、虐待
southern	南方的
elementary	初等的、简单的
motor	发动机
reporter	报告人
commerce	商业、交易
strain	使紧张、拉紧
resolve	解决、决定
thrive	繁荣
excuse	借口
profound	深刻的
soldier	士兵
valid	合理的
wood	木头、森林
embrace	拥抱、接受
lucky	幸运的
tiny	极小的
breathe	呼吸
prime	最初的、首要的
camp	营地
flower	花朵
flood	洪水、涌进
village	村
destruction	破坏
bond	纽带
weapon	武器
salt	盐、腌
dioxide	二氧化物
gamble	赌博、投机
conservative	保守
panel	面板
prejudice	偏见、损害
honor	荣耀
vitamin	维生素
transaction	交易、业务
relief	如释重负
civil	公民的
mirror	镜子
costly	昂贵的
plus	加上、正的
chip	薯片、芯片
insert	插入
boat	船
quote	引用
chairman	主席
latter	后者
trap	困住
bias	偏见、偏重
photograph	照片
rival	竞争
disorder	混乱、骚乱
blind	失明的
onto	在上面、到上面
proud	骄傲
relieve	缓解、救济
tobacco	烟草
construct	建造、创立
encounter	偶遇
overwhelm	征服
sponsor	赞助、资助
truck	卡车
equip	装备
initial	起初的
favorite	最爱的
instant	时刻、立刻
minimum	最低的
neighbor	邻居
neighborhood	小区、社区
principal	最重要的、负责人
proof	证据
file	文件
investigate	调查
package	包裹
genuine	真的、真诚的
concert	音乐会
helicopter	直升机
amateur	业余爱好者、外行
exception	例外
incident	事件
permit	允许
core	核心
unexpected	想不到的
barely	几乎不
anywhere	在任何地方
fellow	同事、同辈
found	创立、建立
occupation	占领、职业
opponent	对手
army	军队、陆军
delivery	递送、分娩
stretch	伸展、延伸
alert	警报
keen	热忱的
theft	偷窃
ethnic	民族的
historian	历史学家
supreme	最高的、最优的
restrict	限制
democratic	民主的
compensate	补偿
thin	薄的、稀薄的
anxious	焦虑的
admire	钦佩、羡慕、欣赏
guard	保卫
intention	意图、打算
lean	倾斜、倚靠、瘦的
generous	慷慨的
honest	诚实的
shoulder	肩膀
inner	内部的、内心的
resist	抵挡、抵抗
sky	天空
artistic	艺术的
marine	海的、船舶的
sensible	明智的
legislation	立法
owe	欠、归因于
theatre	电影院、戏剧
controversy	争论
venture	冒险、敢于
ray	光线、射线
frequent	常常
modest	谦虚的
personnel	员工、人事部门
collapse	倒塌
angry	生气的
extensive	广泛的
resort	度假村、被迫采取
assistance	帮助
insect	昆虫
insight	洞察力
metal	金属
nearby	附近的
exciting	令人兴奋的
freeze	冻结
lake	湖
flat	水平的、公寓
lend	借出
consult	咨询
interrupt	中断、打断
dictation	听写
shall	将要
delight	高兴
genius	天才
distant	远的
diverse	多种多样的
fortune	命运、财产
victory	胜利
feedback	反馈
arouse	唤醒、激发
sad	悲伤的
theme	主题
square	正方形
defense	防卫
facilitate	促进
soft	软的
combination	结合
shake	摇
sophisticated	世故的、复杂的
monkey	猴子
database	数据库
convention	习俗、会议
enterprise	企业、事业
temporary	临时的
dependent	依靠的、取决于……的
wise	有智慧的、英明的
remarkable	值得注意的
horse	马
quantity	数量、数额
fatal	致命的、宿命的
lobby	游说、门廊
calm	冷静、镇定
contemporary	同时代的、现代的
prevail	流行、占优势
trick	诡计、技巧
cautious	谨慎的
convert	转变
curious	好奇的
bury	埋
drought	旱灾
pool	池塘
assure	使确信、担保
edition	版本
induce	引诱、引起
portion	部分
classmate	同学
grand	宏伟的
shed	脱去、棚
pride	自豪、自满
soccer	足球
sympathy	同情
mechanism	机制、方法
ownership	所有
originate	发源、开创
aircraft	航空器
ethic	伦理
external	外部的
universal	普遍的、宇宙的
react	反应
representative	代表、有代表性的
substantial	大量的
qualification	资格
retain	保留
mouth	嘴
poll	投票
via	经过
myth	神话
stability	稳定
taxi	出租车
slip	滑
pocket	口袋
fossil	化石
lady	女士
roll	滚动、卷
forum	论坛
preparation	准备
luck	运气、好运
scholarship	奖学金、学问
rail	栏杆、铁轨
dean	院长、主任
overlook	俯瞰、忽略
defend	保卫、防守
dismiss	解散
reinforce	加强
bother	打扰
overcome	克服
academy	学院
supermarket	超级市场
ambitious	有雄心的、艰巨的
roof	屋顶
thief	小偷
accumulate	积累
lonely	孤独地
gallon	加仑
tutor	导师
railway	铁路
integrate	整合
exclude	不包括
casual	随意的
orient	东方、定位、使适应
component	组成部分
dozen	一打
prosperity	繁荣
badly	糟糕、严重地、非常
diminish	削弱、贬低
imitate	模仿、仿造
intense	强烈的、热烈的
occupy	占据
distribute	分发、分配
phase	阶段
intensive	密集的
revise	修改
straight	直接的
exceed	超过、越过
glance	一瞥
implement	实施、工具
chronic	慢性的、长期的
cup	杯子
pension	养老金
storm	风暴
sink	下沉
beneficial	有益的
load	装货、装载
romantic	浪漫的、不切实际的
shelf	架子
destination	目的地
accompany	陪伴、为……伴奏
lock	锁
jury	陪审团
humor	幽默、诙谐
desirable	称心的、可取的
motion	动、提议
storage	储存、库房
commodity	商品
negotiate	谈判、协商
compromise	妥协
endure	忍受、持久
immune	免疫
pleasant	愉快的
celebrate	庆祝
command	命令
span	跨度
norm	规范
hazard	危险
joint	共同的、关节
clerk	职员
arrest	逮捕
dictionary	词典
hate	讨厌
magic	魔法
numerous	许多的
shoot	射击
song	歌曲
knit	编织、针织
reading	读物、读数
philosopher	哲学家
stranger	陌生人
obscure	不为人知、晦涩难懂
faith	信心、信仰
shock	震惊
strive	努力、斗争
grasp	抓住
passion	热情
settlement	解决、移民地
sudden	突然的
biology	生物学
parliament	原谅、国会
map	地图
penalty	处罚
tooth	牙齿
yesterday	昨天
distract	使转向、使分心
enemy	敌人
abstract	抽象的、摘要
automobile	汽车
hungry	饥饿的
motivate	激发
possession	所有物、财产
rescue	拯救
calculate	计算
lane	小路、泳道
lift	提起
assembly	集合、装配
rid	摆脱
upper	上面的、较高的
pet	宠物
dish	碟子
chart	图表
arrival	到达
kingdom	王国
compose	组成、作曲、撰写
readily	快捷地、乐意地
cloud	云
interfere	妨碍、介入
poet	诗人
soul	精神、灵魂
alive	活着的
exert	用、运用
pioneer	先驱
punish	惩罚
alike	与…相似
interference	干涉
plain	平的、朴素的
anger	怒气、使发怒
tiger	老虎
menu	菜单
pilot	飞行员
violent	暴力的
bore	使厌烦、钻孔
update	更新
cream	奶油
ton	吨、大量
bomb	炸弹
soda	苏打
random	随机的
output	产量、输出
prolong	延长
approval	赞成
extension	延伸
surgery	外科手术
shut	关上
ring	响起
platform	平台
enforce	强迫
battery	电池
convenience	便利
silicon	硅
impress	留下印象
hunger	饥饿、渴望
rice	稻、大米
tragedy	悲剧
policeman	警察
fatigue	疲劳
wheat	小麦
formation	形成
draft	草稿、起草
dominant	支配的
verb	动词
epidemic	流行性的、流行病
impulse	冲动
shelter	庇护所
subtle	微妙的、细微的
forth	向前、离开、产生、拿出
oblige	强迫
spouse	配偶
tension	张力、紧张
bargain	廉价货、交易
chicken	小鸡
comprehensive	广泛的、全部的
limitation	限制
weekly	每周的、周刊
foster	培养、培育
nutrition	营养
suburb	市郊
foreigner	外国人
boundary	界限
conform	符合、遵照
exploit	开发、利用
gesture	手势、姿态
obligation	义务
sweet	甜的
absent	不在场的、漫不经心的
deficit	赤字
mode	模式、状态
crude	粗鲁的、简陋的
mechanical	机械的
govern	统治、决定
evident	明显的
explosion	爆炸
render	使得、给予
layer	层
melt	融化、溶解
caution	谨慎、警告
transmit	传送、发射
automatic	自动的
globe	球体、地球
division	分开、部门
proceed	继续进行
compel	迫使
primitive	原始的、简单的
steady	稳定的
territory	领土、领域
gallery	画廊、长廊
lower	较低的、下级的
maintenance	维护
corner	角落
pop	流行的、突然出现
somewhere	在某处
accuse	控告
neutral	中立的、中性的
renew	更新、补充
fifteen	十五
harvest	收获
mouse	鼠
fox	狐狸
liquid	液体
ancestor	祖先
triumph	胜利
folk	民间音乐、人们
guilty	内疚
permission	允许、许可
pour	倾倒
equivalent	相同的
ultimate	终极
excess	过剩、过量
stream	溪流、流淌
vice	恶习、邪恶、缺点
coal	煤
setback	挫折
deadline	最后期限
spelling	拼写
hinder	阻碍
ear	耳朵
session	会议、阶段
fond	喜欢
musician	音乐家
narrative	叙述
classic	传统的、古典的
dislike	不喜欢
semester	学期
province	省
column	列
hence	因此
celebrity	名人
prior	优先的、在前的
forever	永远
machinery	机械
census	人口普查
fade	消退、消逝
addict	上瘾
anyway	无论如何
tolerant	宽容的
architecture	结构
curb	抑制
entrepreneur	企业家
forecast	预测
controversial	有争议的
ladder	梯子
moon	月球、月亮
oppose	反对
subsidy	津贴
confusion	混乱
enthusiasm	热情
somehow	以某种方式
birthday	生日
inferior	下级、较差的
fake	伪造、假的
frequency	频率
pile	堆
realistic	现实的
therapy	治疗
dirty	脏的
disturb	打扰
biography	传记
outstanding	杰出的
tower	塔
wedding	婚礼
painful	痛苦的
confine	限制
assemble	装配、召集
colony	殖民地
wheel	轮子
literally	逐字地、简直
worthy	有价值的、值得的
crack	裂缝
panic	惊慌的
upgrade	升级
supplement	补充
till	直到……为止
compound	化合物
decorate	装饰
rough	粗糙的
scope	范围
advertise	打广告
fancy	幻想、想象
sympathetic	同情的
clever	聪明的
fashionable	时髦的
hurry	匆忙的
organism	有机体
loyalty	忠诚
prohibit	禁止
alliance	联盟
copyright	版权
expertise	专业知识
leg	腿
spite	恶意、怨恨
suicide	自杀
acquisition	收购、习得
pole	杆
democracy	民主
consequently	因此
fame	名声
fulfil	履行
logical	合理的、符合逻辑的
mankind	人类
monetary	货币的
nose	鼻子
combat	战斗
motive	动机
variation	变化
harsh	严厉的、恶劣的
provision	提供、供给
temper	脾气
exhaust	耗尽
holder	持有者
linguistic	语言的
mine	我的、矿
servant	仆人
reflection	反射
bread	面包
golden	金色的
precious	宝贵的
accommodation	住处、和解
charm	魅力
consistent	一致的
distinct	不同的
edit	编辑
housework	家务
lifetime	一生
shirt	衬衫
amid	在其间
identical	相同的
instruct	指导
jacket	夹克
sake	缘故、目的
virus	病毒
wound	受伤的
beer	啤酒
refugee	难民
nap	小睡
classical	古典的
sequence	顺序
systematic	系统的、成体系的
horizon	地平线
apparent	明显的
guidance	指导
passive	被动的
creature	生物
fierce	凶猛的、激烈的
mix	混合
trigger	触发
cue	提示、暗示
disable	失去能力
hostile	敌对的
integrity	诚实正直、完整
precise	精确的
suppress	压制、镇压
blow	吹
bone	骨
gate	门
abundant	丰富的
appliance	装置、应用
relax	放松
smooth	光滑的、顺利的
appetite	食欲
currency	货币
laundry	洗衣
bicycle	自行车
skirt	裙子
eastern	东部的
lion	狮子
toilet	厕所
guilt	内疚
tolerance	宽容、容忍
parallel	平行的、类似的
instinct	本能
premium	保险费、优质的
shuttle	航天飞机
collective	集体的、共同的
flash	闪
continuous	连续的
resistant	抵抗的
variable	变量、多变的
visible	可见的
withdraw	退出、撤退
elaborate	复杂的、详尽的
guess	猜测
indispensable	不可缺少的
sweep	扫地
concrete	具体的、确实的
electrical	电的
governor	统治者
incline	倾斜、斜坡
mount	山
straightforward	坦率的
habitat	栖息地
spoil	破坏
companion	陪伴
quarrel	争吵
sorry	抱歉
bureau	办事处
heritage	遗产
mask	面具
coat	外套
countryside	农村
dynamic	动力、动态的
format	版式、设计
secondary	次要的
coin	硬币
deposit	存款
install	安装
tremendous	巨大的
voluntary	自愿的
accuracy	精确度
silver	银
shame	羞愧
patience	耐心
ambiguous	模棱两可的
suspicious	可疑的
polite	礼貌的
courage	勇气
noble	贵族的
suspend	暂停
undermine	逐渐削弱
deliberate	深思熟虑的、故意的
operator	操作人员
substitute	代替
fare	车费
pollute	污染
prominent	突出的
thick	厚的
enrich	丰富
guy	家伙
verbal	语言的
behalf	代表
tolerate	容忍
peculiar	独特的、特殊的
hemisphere	半球
pure	纯粹的、纯的
outlook	前景
rear	后方、培育
comparable	可比较的
cast	投射、铸造
mutual	相互的
organisation	组织
row	行、排
cheer	欢呼
intensity	强度
nurture	培育
esteem	尊敬
liberate	解放
tennis	网球
acceptance	接受
consensus	共识
cotton	棉花
nerve	神经
persist	坚持
undergo	经历
wallet	钱包
wash	洗
asleep	睡着
fate	命运
chat	聊天
forty	四十
impressive	印象深刻的
spur	刺激、促进
forbid	禁止
rational	理性的
heel	脚后跟
desperate	绝望的、不顾一切的
twelve	十二
hesitate	犹豫
index	索引
attain	达到、获得
frighten	害怕、惊吓
appoint	任命、安排、约定
drama	戏剧
satisfactory	令人满意的
thesis	论文
clue	线索
defeat	击败
oxygen	氧
ball	球
exclusive	独有的
headache	头痛
membership	会员
twin	双胞胎
underground	地下
upward	向上
architect	建筑师
consultant	顾问
elevate	举起、提拔
plunge	陷入、暴跌
reception	接待、招待会
boast	自夸
sue	起诉
tape	胶带
opera	歌剧
cathedral	大教堂
greet	打招呼
knock	敲
mortgage	抵押
rubbish	垃圾
stereotype	刻板
decent	体面的
seminar	研讨会
zero	零
adventure	冒险
affection	喜爱、感情
constitution	宪法
definite	明确的
drift	漂移、漂流
endeavor	努力
enlarge	扩大
mineral	矿物质
annoy	令人厌烦的
bush	灌木
poem	诗
scatter	分散、散布
wipe	擦除
incredible	难以置信的
mechanic	技工
enthusiastic	热情的
flourish	繁荣
inch	英寸
lung	肺
frame	框架
profile	轮廓、简介
youngster	少年
brick	砖
dictate	规定、口述
organ	器官
piano	钢琴
twist	扭曲、捻
wherever	无论在哪里
gaze	凝视
junior	年资较浅的
subway	地铁
pyramid	金字塔
remedy	补救、治疗
mature	成熟的
pump	泵
tropical	热带的
chef	厨师
junk	垃圾
pack	打包
interior	内部
liability	责任
bid	出价、投标
rude	粗鲁的
criterion	标准
gradual	逐渐的
objection	反对
surname	姓
activate	激活
lawsuit	诉讼
outlet	出口
tunnel	隧道
ignorant	无知的
squeeze	挤压
click	点击
gentleman	绅士
invisible	看不见的
retreat	撤退
chemistry	化学
manipulate	操纵
migrate	迁移
somebody	某人
clinic	诊所
dull	枯燥的
tight	紧的
wonderful	精彩的
accommodate	适应、容纳
destructive	破坏性的
chase	追逐
steep	陡峭的
deed	行为、事迹
lightning	闪电
recreation	娱乐
refine	改进
stamp	邮票
prisoner	囚犯
salesman	推销员
summary	摘要
monopoly	垄断
dose	剂量
gross	总的
laughter	笑声
trail	小径、踪迹
discard	抛弃、丢弃
absolute	绝对的
classify	分类
festival	节日
quest	探索、寻求
conceive	怀孕、设想
underestimate	低估
bet	打赌
density	密度
prescription	处方
resistance	抵抗
sir	先生
leap	跳跃
reproduce	复制
revolutionary	革命的
shy	害羞地
brush	刷子
cinema	电影院
essence	本质
gun	枪
inhabitant	居民
momentum	势头
stare	盯着
wander	游荡
extraordinary	非凡的
polish	擦亮
slight	轻微的
frank	坦白的、直率的
misfortune	不幸
rob	抢劫
surgeon	外科医生
transmission	传输
orbit	轨道
reservation	预定
brilliant	闪亮的、聪明的、出色的
gadget	小玩意儿
playground	操场
tenant	房客、租户
worthwhile	值得的
assert	断言
mysterious	神秘的
slice	部分、薄片
basketball	篮球
inherent	固有的
sixty	六十
headline	头条新闻
specify	指定
tag	标签
margin	利润、边缘
extract	提取
agenda	议程、日程
joke	笑话
pessimistic	悲观的
tune	曲调
apology	道歉
loud	大声的
portray	描绘
burst	迸发、爆发
excitement	兴奋
geography	地理
prevalent	普遍的
silence	沉默
theoretical	理论上的
murder	谋杀
rigorous	严格的
waiter	服务员
corn	玉米
oneself	自己
shadow	阴影
tongue	舌头
hobby	兴趣
laptop	笔记本电脑
potato	马铃薯
pretend	假装
dine	进餐
pronunciation	发音
dissolve	溶解
speculate	推测
underlie	构成...的基础、在...之下
precede	先于
quota	配额
surplus	盈余、过剩
drastic	激烈的
lest	以免
supervise	监督
liable	有义务的
senator	参议员
abolish	废除
foresee	预见
hardship	艰难
hormone	激素
recipient	接受者
suspicion	怀疑
lag	落后
hypothesis	假设
revive	复苏、唤醒
undertake	承担
deficiency	不足、缺乏
enrol	登记
peaceful	和平的
realise	认识到、体会到
resemble	像
spiritual	精神的
fortunate	幸运的
mild	温和的
temptation	诱惑
wine	酒
cater	迎合
donate	捐赠
grave	坟墓
historic	有历史意义的
incorporate	合并
physicist	物理学家
prey	猎物、捕食
stupid	愚蠢
toxic	有毒的
collar	衣领
plot	情节
rainbow	彩虹
sheer	纯然的、陡峭的
sing	唱歌
soar	翱翔、高飞
studio	工作室
halt	停止
nursery	托儿所
expedition	探险队
outdoor	户外的
circuit	电路
simplify	简化
cooperate	合作
volcano	火山
deem	认为
nowhere	无处
contend	竞争、争辩
delicate	易碎的、精致的
mathematical	数学的
outer	外面的
allowance	津贴
skip	跳过
awkward	笨拙的、令人尴尬的
vague	模糊地
cable	缆、电缆
emit	放射
manual	手册
prescribe	开处方
shell	壳
tale	故事
bell	钟、铃
competent	有能力的
hat	帽子
prestige	声望
silly	愚蠢的
split	分开、划分
tailor	裁缝
indoor	室内的
offend	冒犯
publicity	宣传
refrain	避免、克制
cherish	珍爱
descend	下降
entity	实体
occasional	偶然的
fourteen	十四
fry	油炸
syndrome	综合症
whale	鲸
pencil	铅笔
spy	监视、间谍
cease	停止
fold	折叠
beam	光线、发射
charter	宪章
correlate	关联
departure	离开
float	漂浮
array	系列、序列
engagement	订婚
fertile	肥沃的
fool	傻瓜
rocket	火箭
alien	外星人
devise	设计
exaggerate	夸大
inherit	继承
intimate	亲密的
opt	选择
ours	我们的
troop	军队
dilemma	困境
spell	拼写、咒语
thrill	激动
tribe	部落
blog	博客
deadly	致命的
favorable	有利的
herd	群
steam	蒸汽
strip	脱衣、剥夺
diagnose	判断
scratch	抓
wet	湿的
dip	蘸
distress	忧虑、悲伤
drill	练习
sculpture	雕塑
warmth	温暖
dump	垃圾场、倾倒
resign	辞职
vigorous	充满力量的
leaf	叶子
manifest	显示、显然的
pen	钢笔
alongside	在旁边
bulk	大部分、体积
dig	挖
elect	选举
funny	有趣的、滑稽的
innocent	无辜的
input	输入
nonsense	胡说
vivid	生动的
beef	牛肉
excel	优于
nonetheless	然而
queue	排队
conquer	征服
contradict	反驳
leak	泄露
seize	抓住
authentic	真实的、真正的
coordinate	协调、坐标
hip	髋
feasible	可行的
gloomy	阴暗的
hint	暗示
illiterate	文盲
iron	熨
lip	嘴唇
painter	画家
stir	搅拌
bitter	苦的
digest	消化
exotic	奇异的、外来的
lazy	懒惰的
obey	遵守、服从
butter	黄油
carpet	地毯
civilian	平民
pin	别针、固定
yellow	黄色
pie	馅饼
retrieve	取回、恢复
romance	浪漫、冒险故事
workshop	车间
cap	帽子
likewise	同样地
contempt	轻蔑
queen	女王
jet	喷射、喷气式飞机
acquaintance	相识的人
bay	海湾
bite	咬
depict	描述、描绘
dimension	维度
precision	精确
shore	岸上
superficial	肤浅的
unity	统一
furnish	提供
palace	宫殿
provoke	激怒
grateful	感激的
setting	环境、背景
amuse	娱乐
anybody	任何人
cart	手推车
comply	顺从
demographic	人口的
imitation	模仿
incidence	发生率
invitation	邀请
mill	磨
super	极好的
cake	蛋糕
stroke	中风
surge	激增
testify	作证
cow	母牛
linger	徘徊、逗留
alleviate	减轻
downtown	市中心
hurricane	飓风
patch	补丁、修补
tea	茶
misery	痛苦
lord	主
rage	大怒、狂怒
elegant	优雅的
flaw	缺陷
formulate	规划、制订
moderate	温和的、适度的
reliance	信赖
tide	潮水、潮流
pledge	保证、誓言
snap	猛咬、拍摄、突然的
undoubtedly	无疑地
visa	签证
wing	翼
commute	通勤
dare	敢
energetic	精力旺盛的、能量的
flag	旗
frontier	边境、边界
illusion	错觉
slogan	口号
vessel	船
compute	估计
episode	情节
indication	迹象、指示
starve	挨饿
steer	引导、驾驶
superiority	优势
tempt	引诱、吸引
beside	在…旁边
decisive	决定性的
occurrence	发生
refrigerator	冰箱
seemingly	表面上
spectator	观众
trivial	琐碎的
awake	醒着的、醒来
faulty	有缺陷的
housewife	家庭主妇
intervene	干预
luggage	行李
seal	密封
shout	喊叫
dwell	居住
inspiration	灵感
merge	合并
shine	闪耀、照耀
yell	喊叫
fraud	欺骗
tedious	枯燥的
crazy	疯狂的
invade	侵略
yard	院子
alphabet	字母表
heaven	天堂
hospitality	好客、款待
pink	粉红色
backward	向后的、落后的
legitimate	合法的
lure	吸引、诱惑
rigid	严格的、僵硬的
offspring	子孙、后代
violate	违背、侵犯
poisonous	有毒的
silent	沉默的
thereby	从而
cling	紧贴、坚持
divert	转移
fraction	小部分、分数
applicable	适用的
bachelor	学士、单身汉
carrier	载体
hole	洞
initiate	开始
mate	交配、配偶
meaning	意义
presumably	大概、可能
reap	收获、获得
brake	刹车
calendar	日历
certificate	证书
cousin	堂兄弟姐妹
dairy	乳制品
decay	腐烂
grab	抓取、夺取
miserable	悲惨的
practitioner	从业者
proposition	命题
qualify	合格
sole	鞋底、唯一的
spark	火星、引起
sportsman	运动员
tissue	纸巾
toll	损失、通行费
verify	核实
compulsory	强制的、义务的
cyberspace	网络空间
dawn	黎明
kick	踢
mayor	市长
subjective	主观的
timely	及时的
ward	病房
wrap	包裹
altitude	高度
cattle	牛
cottage	村舍
drown	淹没
empire	帝国
ignorance	无知
landlord	房东
precaution	预防
prosperous	繁荣的
tense	紧张的
versus	对抗
allocate	分配
beg	乞求
glad	高兴的
infect	感染
mess	混乱
troublesome	讨厌的
delegate	委托
dive	潜水、跳水
hop	跳跃
kindergarten	幼儿园
litter	垃圾
passport	护照
pat	轻拍
prospective	潜在的、预期的
uncle	叔
blueprint	蓝图
federation	联合、联邦
telescope	望远镜
cheque	支票
republican	共和政体的
ritual	仪式
vanish	消失
petrol	汽油
subsequent	随后的
bonus	奖金
consent	同意
bubble	气泡
grip	紧握、紧抓
humble	谦逊的、卑微的
navy	海军
sociable	好交际的
ant	蚂蚁
betray	背叛
handful	少数
imperative	紧急的、祈使的
reckon	估算、认为
acute	严重的、敏锐的
castle	城堡
considerate	体贴的
dignity	尊严
heighten	加强、增加
magnificent	宏伟的
metre	米
rhythm	节奏、韵律
throat	喉咙
tidy	整洁的
wire	电线
cliff	悬崖
curve	曲线
destiny	命运
dim	暗淡的
paradox	悖论
repeatedly	重复地
resolution	解决方案、决心
scream	喊叫
shade	阴影
collaborate	合作
county	县
deteriorate	恶化
equation	方程式
orange	橙色的
postpone	推迟
pronounce	发音
thorough	彻底的
contaminate	污染
creep	爬、蔓延
diabetes	糖尿病
drunk	醉酒
dual	双重的
empathy	共鸣
overtime	超出的时间
priest	牧师
tire	轮胎
disastrous	灾难性的
leather	皮革
multiply	乘
pigeon	鸽子
poison	毒药
ski	滑雪
swim	游泳
utter	说
worm	虫
rotate	轮流
aggravate	恶化
sentiment	情绪
tube	管子
loyal	忠诚的
pipe	管子、烟斗
vaccine	疫苗
canal	运河
conception	概念
distort	扭曲
gravity	重力
imaginative	富于想象力的
municipal	市的
plausible	似乎是真的
sociology	社会学
crawl	爬
exit	退出
masculine	阳刚的
restrain	抑制
weird	怪异的、古怪的
advisable	明智的
avenue	大街
barrel	桶
cabin	机舱、小木屋
conceal	隐藏、隐瞒
eleven	十一
formula	公式
basket	篮子
eligible	合适的
immense	巨大的
indulge	迁就、放任
log	圆木、原木
magnetic	有吸引力的
seventy	七十
slim	苗条的
surpass	超越
bend	弯曲
charity	慈善
clarify	澄清
defy	反抗、藐视
gratitude	感激
morality	道德
paradise	天堂
prince	王子
revenge	报复
van	先导、货车
champion	冠军
chess	国际象棋
chocolate	巧克力
dear	亲爱的
deceive	欺骗
horror	恐怖
juice	果汁
princess	公主
shower	淋浴
threshold	门槛
vocal	声音的、声乐作品
autonomy	自治
cloudy	多云的
grief	悲痛
hierarchy	等级制度
probable	很可能的
wooden	木制的
comparative	比较的、比较级
cartoon	卡通
medal	奖章
detach	分离、派遣
durable	耐用持久的
partial	部分的、偏袒的
predator	食肉动物
cruel	残忍的
mend	修补、修理
progressive	渐进的、先进的
ratio	比率
subscribe	订阅
tactic	策略
constrain	限制
dentist	牙科医生
prone	俯卧的
refresh	提神
cooperative	合作的
depart	离开
endurance	忍耐
glimpse	瞥见
grandmother	（外）祖母
probe	探测、探针
scrutiny	监视
shortcoming	缺点
subordinate	次要的、下级的
drag	拉、拽
expenditure	开支
fantasy	幻想
grey	灰色的
insult	侮辱
persuasion	说服
plug	塞、插头
revelation	启示
terrify	使恐怖、使害怕
algorithm	算法
boycott	拒绝参加
coincide	一致
dealer	经销商
disposal	处理
fever	发烧
forgive	原谅
lawn	草坪
lodge	小屋、门房
nest	窝
pill	药丸
spectrum	光谱
turkey	火鸡
bathroom	浴室
chest	胸
